상품명,가격,배송바,url
애플 Apple 아이폰 16e 128GB 미개봉 새제품,"440,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=tDBbexBrM3wl9Ug1rOwqVP%2F%2F%2Fw%3D%3Ds6JCQ3j7OfywChKQSAR%2B%2FOc7Br9qGyiHEnrtOB5CZmWQAjU5j3gjlMYsRq8%2BGHFpS8t0uSqbL4WCocHvYscTfTjXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcVcpoK6%2B77YaU9jcTXq98hDD5EAmGyaVUD2XXseKFFqlrl6pi1190uKBx%2BypGF%2BxFwhNAWEw0JCsb7LJXBJqKWV9015zgK%2BP5r4ZCysDfiDpW8UjUJYGI%2F9VG8ySwUuOa8XmvllbU0MHjlNEnGQOI2bxKy3LoYl2rVajvOxbF9h7C54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyOWMPdCZ9HuyQDywPQdPKKDI0wsZ%2FbR%2Bvy1mMOZPj1bGG1fUqIZ7CTqeNBeEUiuIjdUGPgRggHKKLvER4Et1UYP%2Be0rsHLbZS5O2l5FSw6hh%2BQaZNgYJHHKeII8hfQtwaVZe2vCZzrj2VVTjVubWlVDN81WjUpxJVJrN5mDsz4BpxajfCLLAG7AAnOO3EeUKmd9nzMbQIMFh4vy8tzhMHsVda5t7S2YYsJBU1Z1eohHKR2SdzAJDDZAX36C0mf%2BYtdmh3qu3jWpf24Cn5bRk46xB%2BN8yuTUNKdC7BdTtUm5wWfAs3MBjlgxjnwLbwIxH2rPdJcDu90HdysRMHeadvRfvk3ZEM7VZ7hbjUZrV9AbeQ5uWxUwnohxHntA1OSX6yEHQIiXcF4qwUXZ2sX76wW8%3D&nvMid=89877627274&catId=50001519
[대여] 애플 17 프로 아이폰 대여 렌탈 합정 잠실 서울역,"29,600원",배송비무료,https://cr.shopping.naver.com/adcr?x=WKYHYS2oLhsNCW%2B6M6vCK%2F%2F%2F%2Fw%3D%3Ds8oHVMwk1sZPsq85gFJYzfWy%2F8mh7SWtsC%2F0z%2BN7qWC8AjU5j3gjlMYsRq8%2BGHFpSa%2FqaCknbIVjPpsOLQEQaIjXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcVcpoK6%2B77YaU9jcTXq98hDD5EAmGyaVUD2XXseKFFqlrl6pi1190uKBx%2BypGF%2BxFwhNAWEw0JCsb7LJXBJqKWV9015zgK%2BP5r4ZCysDfiDpWJV3jbCpnRGFI7uxcdTky89B57xWiiMmP2I7J%2BKpkJuxKy3LoYl2rVajvOxbF9h7C54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyHe2x6%2FTUNmIJGOIj27qBm6i5Xib0lo1lsroWZ8ZREdQqo9xYeeSYvXSBSSy7%2Fi5u9UGPgRggHKKLvER4Et1UYP%2Be0rsHLbZS5O2l5FSw6hh%2BQaZNgYJHHKeII8hfQtwaRKfbV5w6MDJYS98ingm%2BgHN81WjUpxJVJrN5mDsz4BpiHW4Emos9hCaS9CcgW8JVt%2Fx2lDyIviEsfyISMz7L1DtfGEwfEslI77zp2BVN56v4fuBxUXFP3IAfbF%2FRtLVMOfDsRw%2Fq6a3xSbYyumVmYca3hvn9EYhdnVWKEuCL66Jz%2BTGPiK2xEyqZgcv61wr%2BrEKHCxBhmtMLJXh3NqRZK0mhQZn3PwRTxS1Rzr1k8I%2BjPsbRWOlAYYOpbv%2BdbQIRDl1W59ZNUW54N3L2twHnI6FbDf4gHI5rSMJU1BWcIOg&nvMid=89926920107&catId=50000249
아이폰 17e 256GB [자급제],"최저990,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=BOiFHhJ62WS%2FNy807zflwf%2F%2F%2Fw%3D%3DstxBvibAssTv6Ot3GJSIHVFt%2B2QdFyRc0B%2F2hMorzRGVyoYErd7Wx1dfdVO6hh7qVV5gde1OaFu9aBjMRGH5OmsKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojJ8HYErUipZmFnRR4i6yvUVJi4kqkfrsMaDMvD%2FKMybQiI7B54eM1Z1TkQmq6kEubhmeWtJmvw8M90EK%2Bzy5a114nEdwofithSFzlLG8az9DckHIAnfcjW8vGv5f9g%2BRiIk7uNvEAL%2BEcmclsT2kPbblIRP%2BZOH7CveIqcMav0VFCOWlOtGXo%2BBrAFlQod7x8IYcO%2BwZChQd38bYTPmzUgD9rXyqENDUD8omnd%2BAEOivf3Vb8LXDlJWzaxi1N0VJ65pll0AoaT5kg6zwQNcBg8WovNxFWzA781dOsDXmXgY0GilyaKM5kn%2Bdjf5FjA7VeSkijfLc7fx77nAnEnwnY57lAo3Rm6TRtniyvzymaudM1ycG%2FCkRelOMkyw%2BDh5rogD4pcSj362gUFXwU2GrD2Zw9%2FDMX2S1ZzF2txO07wpSHt5FeG%2FH7Xww%2F%2FMuALSol9oQhMm9myI3rpJyoYwRsUtYcPCZJs3ATganiXKNXJJEg0SCvkBdX%2BfiYBl0IX9vqG4z81t6NRZmnOfxEfy5asfvrZW9AlkFrSIIchAe%2F18kRpOFzCbaM6OU97uoPifjr6KgI8BPNBOD5PetcPUWBm0OYu0Ljx7TKF60i2s3eXUjNjqh%2FZemCCOboDhnweAmG&nvMid=59125506333&catId=50001519
아이폰 17 512GB [자급제],"최저1,526,400원",배송비무료,https://cr.shopping.naver.com/adcr?x=7WiHM4360t99WfwymPHtx%2F%2F%2F%2Fw%3D%3DsWr3t%2Bep5ax1uEV7lfCRkfViwgni%2FIk%2BHAPn3mDULHbJyoYErd7Wx1dfdVO6hh7qVdQpQIVfCYzLqx%2FcaOn8JScKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojJ8HYErUipZmFnRR4i6yvUVJi4kqkfrsMaDMvD%2FKMybQiI7B54eM1Z1TkQmq6kEubhmeWtJmvw8M90EK%2Bzy5a114nEdwofithSFzlLG8az9ASBNXkEhetsnaK17idpx5DIk7uNvEAL%2BEcmclsT2kPbblIRP%2BZOH7CveIqcMav0VFCOWlOtGXo%2BBrAFlQod7x8IYcO%2BwZChQd38bYTPmzUgD9rXyqENDUD8omnd%2BAEOivf3Vb8LXDlJWzaxi1N0VJ6LJ0MUTl8%2BxJgsR2NtkoWoWovNxFWzA781dOsDXmXgY0GilyaKM5kn%2Bdjf5FjA7VeSkijfLc7fx77nAnEnwnY57lAo3Rm6TRtniyvzymaudM1ycG%2FCkRelOMkyw%2BDh5roEzICFgVsEg0uyxzfsjy7%2B5w9%2FDMX2S1ZzF2txO07wpSHt5FeG%2FH7Xww%2F%2FMuALSolXpgbMZBNc2nh38DUidFCEJnEh4xd49ipB1VRcitT8H%2FT29Fm9w52YxUPMZiGQEPjURUKD5qhGi%2BYEUINplczD6w70NbZP6uHmMo5FhoJbRYRpOFzCbaM6OU97uoPifjrycJtNGeNyRY3PBI%2F8lluQx0pCgh11W5WBcpJpz3o%2FeTNjqh%2FZemCCOboDhnweAmG&nvMid=56642218976&catId=50001519
Apple 정품 아이폰 16 자급제,"1,150,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=jIP4SUlKc%2BvP%2FQBw0Dqo5v%2F%2F%2Fw%3D%3Ds2g1l5mh5DlQGFtbBCdGLvL7f9ylfBx1%2FZM5ktejzodbxTAJR5s3V3RheLYZrm3hTGX2jo8mFx915A%2FIT14sjN2g6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUyO7ChwrCmh81FSu7iB2mRNDkFMhuDiVGpV0%2FnH3Byg6KPRaB75CpZSI3WOEfpRxJHNZtQ%2FiGx%2BQOIyH96Kmut2E6W4nW1ZBCJdFOCy3XN8wGzeLpYzXKylPfNPIwVklAklnFx%2BOK%2FZ12OM5oXmyo%2FrNZ0VU37VcdgTdzSFS0KJIWEea8lON7BVww%2BVCYs2aJzNpWdDZgZjgHBCxFwleabTeCsheERqGwH1oTQDVlLMPFTsoJC617iO9rmkyINrn%2FCneSaHKSg8YoUJxvBSQFVRKy3LoYl2rVajvOxbF9h7C54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyM8Khb3ZW2qWwgnBSkslextAW7ixYLpcsqjM1QROR6OxgzRGQMqXBWNWeUALR9IuSnYgr%2FCGiHKkVu0zZ9D33nXj2kutq5IvYB%2Fr6DiZSdKwxj2%2BueGD0V%2FODm9APc17NTz%2BPvHANzeyfrdHvUJymiRlHbYDqngaR0HlMSHta7qs10BOzxy976Mrvpv9NpM20rReafK8kjqa0rIoX6%2BRJTNdnvoolkKVNouiKxvFitIQRA%2FH5%2BZCRNfOzbw9WIv6cyY3p1X2mnlDPAQCwcGNAzTL07boOLwoxL6IajskM%2BfZvjSGQMHNEDjnt8yukxWrZ1qj%2FQaMZJhVUbzZOmL8%2FUNoaKZHilHbuauHUigNM5KA&nvMid=55291676020&catId=50001519
아이폰 17 프로 256GB [자급제],"최저1,790,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=UlEdv%2FmRjVUq20E%2F2xe4hf%2F%2F%2Fw%3D%3DsIjLkLfneXtVQ3MCnfCoKqDj0ZsBSigkmreAq94z51pvxTAJR5s3V3RheLYZrm3hTbIF%2BAWkudOEk%2F2%2FDBNgkN2g6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUyO7ChwrCmh81FSu7iB2mRNDkFMhuDiVGpV0%2FnH3Byg6KPRaB75CpZSI3WOEfpRxJ334rL%2BbR36BhYe0R%2FrUmjkI1yUrC8vID%2FKz%2F8c89qMtHnaVdL%2ByFF8sN%2FzE5vfZjY2ZxuAuvSW7ZwIsaDJftz694IFlqpi2PXO88uXmhtpGPU%2BP0vujqGsMX5b0LlSVH0pZ54p2u%2FbrBbb5xdOQUT2vqR2unsG9Pw6XBns%2FftjJmn%2B6FVZ%2Fm0w7K7lHYQAO7ips7L%2BHL%2F9XXqdlV5GofkDokh7KNEkkbwBBKOUFOEEqtrFOJ3BrPLpJ%2BiuodUZE4pCx5DEuk%2BCwv89EIsuvHOEA6g0b8m774rkU%2FndcsrFyNyvmi1YpN6z1aUtdV7deahNSejLnKwkVKrau%2BH9owqiI28QDIftdPo5sZ73mZF1QQWNxlcvxVcTYogw9Go3GiseZHaS%2FOwSyXnheJKBgZiCLkdKvOGEI4xa5d1nG8Ze9ph5ep%2FVlflDhOh3XwtnEhUCkLuYWGGZYJeMcgNVBwWjsdMFDtA9byax7ePdWw%2F2OdSlPOZBN6V54TTL6u%2FzFs5j4Fj4ovuedoR%2Bc1IkGFpH%2F4DSC068t08LTKgFEn6d5WhZ3SMHTcLlpircdRzUgq1JIslBmdxaTx7xO1%2BPPoWw%3D%3D&nvMid=56666065238&catId=50001519
SK 기기변경 애플 아이폰17프로 512G / iphone17 Pro,"1,440,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=%2FVVoDhkoRjlT92W%2B6uwZ2v%2F%2F%2Fw%3D%3DsFQwsWcEoyFGFbZh%2FGISe7V3OQDM%2BZ5V6MdJ9j%2F6Ec0wAjU5j3gjlMYsRq8%2BGHFpSDBvXKXgjmRJU6cSUeuE1lDXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcVcpoK6%2B77YaU9jcTXq98hDD5EAmGyaVUD2XXseKFFqlrl6pi1190uKBx%2BypGF%2BxFw9ET7et2EVoK3e%2FjN%2B1okdw2aTib2HZxYthgQwcsL0fP%2FqZitcv1cbjcnp8zhjDJARpU65idHApHiQgTJDz7%2F3JaUBP4eeOpkaTbqW9TxZeJEqzK2WNGcT%2B5sHCKZevrdy%2F6MHZ6u%2F5n6uuzlUc6JNEuUiTS4CHUtVxQrWeRhExjUThds8qXBk2GsjoG4BPb0piXKBBpMeiBZ2yLygSAI1Vw1k3kUXjomqDt8NY2PkJo26SzTrxWnV%2FJ8smUj5aON022wzw7oJnXq4AaZXBLHWFwsetKX3NL5cglPmuV4rgqD3y9ThgJT74ZsGFRkVbnD%2BdcP%2FYbeGUXCaz7KY0VgojuLPpJQIInhkF%2Boazyst9WHMIgKG%2BjkSjl7j9YGNv7D%2Bin8ZMQab7EMTS95UcSXxpQPcEcQiVMgvs2esJFeUUk9jwI207JRMWZoqOSRGaJ1cYytZBhSvxji0XiTTHjazq%2FxpPdAk%2BKKLwqVq0iLR7zL07boOLwoxL6IajskM%2BfZKNm4m58y%2FoJozo1Hq9vd8R9JMvxn37pW8KhEeoFQC2poaKZHilHbuauHUigNM5KA&nvMid=57170283301&catId=50000246
아이폰 17 256GB [자급제],"최저1,237,980원",배송비무료,https://cr.shopping.naver.com/adcr?x=AaCWmZOXZFj%2FXMzwMnSwqP%2F%2F%2Fw%3D%3DsJ%2BJSB2LoQPEVzkvY44r%2BwWenC8F4NU%2F8fm1d42LLuxJyoYErd7Wx1dfdVO6hh7qVJkORWngcCEpE2ssflJHl58KdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojJ8HYErUipZmFnRR4i6yvUVJi4kqkfrsMaDMvD%2FKMybQiI7B54eM1Z1TkQmq6kEubhmeWtJmvw8M90EK%2Bzy5a114nEdwofithSFzlLG8az9BF4SUFdYsHJqKAQaKySmwjIk7uNvEAL%2BEcmclsT2kPbblIRP%2BZOH7CveIqcMav0VFCOWlOtGXo%2BBrAFlQod7x8IYcO%2BwZChQd38bYTPmzUgD9rXyqENDUD8omnd%2BAEOivf3Vb8LXDlJWzaxi1N0VJ62rHrH%2FG%2FmlKGqTnOOlBemWovNxFWzA781dOsDXmXgY0GilyaKM5kn%2Bdjf5FjA7VeSkijfLc7fx77nAnEnwnY57lAo3Rm6TRtniyvzymaudM1ycG%2FCkRelOMkyw%2BDh5rof1HcjZETy%2FgA%2BFX1ddFGH5w9%2FDMX2S1ZzF2txO07wpSHt5FeG%2FH7Xww%2F%2FMuALSolHfpdYmqLWUHKvml%2FCWrMkJnEh4xd49ipB1VRcitT8H%2FT29Fm9w52YxUPMZiGQEPj4AkuWKUPpJLfq5NAm4mUxYBVun44%2F5VHUugrtYBSGykRpOFzCbaM6OU97uoPifjr62rxAEQPaFcdsnojJ5VslZgVSSouQhuSSI9aEQkL383Njqh%2FZemCCOboDhnweAmG&nvMid=56666632837&catId=50001519
Apple 아이폰 17 프로 자급제 256GB - 실버 MG8G4KH/A,"1,790,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=fW1dX229nOeE544mErNCPv%2F%2F%2Fw%3D%3Ds223NRtZa6kNcdSJgh7478M2kXd71P1KcNKZlja77YKsAjU5j3gjlMYsRq8%2BGHFpSwlnENndNSUY0%2BOUbj5wbpTXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcVcpoK6%2B77YaU9jcTXq98hDD5EAmGyaVUD2XXseKFFqlrl6pi1190uKBx%2BypGF%2BxFwh83Hd%2FMBIIhr38vFu%2BvG0owZskL6yDBLDhBo2NNhhqQnHI9LI0O0kpbw8XHProF7dv5nXukfOfT%2Fq1m6X4DloxbjJAQtVtMhXuf3vBkiefWWJtbYdpuqrFbHuKPmsLusD1Qmf2ge%2BrufpCO7m6iFQ18lUY49HlBtNyvk%2BHq4sD5ruGnra1gNesgZ7Oh7Ik0vvCwT0abKONypnac0fWTm4weL8mDjug0MMBKQwp4NOEHBz7%2BORHa%2BX777%2F5U82WuFPW%2FWhsws%2BmqKZySCwtxb%2F8Jy1dSg%2FNKT2uNz5j9e%2FCJv1%2F1Oy2wGa91FFG%2BlL%2FdaraxTidwazy6SforqHVGROKQseQxLpPgsL%2FPRCLLrxzhAOoNG%2FJu%2B%2BK5FP53XLKxc0EEKY1f13DVNq8fQFPH561inQXE6jInc%2FdrEREn8BDpBBbYLgF%2FlaAuPEUA1EI7LeeB52T5DDyXWzxEJZpo2%2B3zdVKaZY5G0ephciMdVcBABJcNetlzlAWV8z9PffXXYFalILnNr%2Fgnl0%2FLJ7zK6BV%2FkGzo5Q0xuxRTTp3hfN%2B6WONSMidBvbXsX0v3WUpppLoIg4eUvJ%2Fu0XNDHjbs4HUr3X1Z8hXc43HO6KcplzUc8oVXXl76DwfiCY0I2GcQ3xyAhEKTy%2B0Zvtn8oYxIR0Q%3D%3D&nvMid=59278488268&catId=50001519
Apple 아이폰17프로맥스 512GB Apple 미개봉 새상품,"1,160,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=ie%2FUv0BeULVkbzo%2F1RN1pP%2F%2F%2Fw%3D%3DsovyQbkjbcaqleqZE%2FuAlAfscG0EPSonV729N11xW2XDxTAJR5s3V3RheLYZrm3hT%2FVzrvKJKy%2ByD7tQSwe5BcGg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUyO7ChwrCmh81FSu7iB2mRNDkFMhuDiVGpV0%2FnH3Byg6KPRaB75CpZSI3WOEfpRxJRL6iu0rN9ANYEXkZX8p%2BoSEm%2FeWMmjv1VUimPr%2BbdY6FZjV55YvAAfRcK3G3tTissTI8bIxdYyvxc0HuaeM0bf54B1aDCVJ%2FaBI6h2dlIjAQhkkHXK4%2FmSRy5icYE%2F2772e3MtFfv9yQbDbLFwar4700UPrHmAut3VMyEGteAS4Wx7xw8HcqUa1BT%2FCvQMHRcRNvmkCkGTEGnQxjgQGSKsrQMnNsVo%2BsX914sPs2gSvgVFhgPRlAS1oH%2BEWXyhFonk0oHDv4qAuCkta8e0gUlq4DPFrJeCawrrD420JMXf3XdwMZv%2BsjaOq%2FaIlKn6P2jGe2O4XYR9Z2V8RfLAfApTvZT97I18dWaYF2k57JV0%2FX6otj1MhfQc94QwsHuf4HinLSptEDDbjEE6GhbroZKCEgEVeV7B3NpZq7cYnYo2JqEafhDm%2Bdw%2FGs5SL0%2FdeOsQocLEGGa0wsleHc2pFkrUqljc64RwI1Zr3uMpY7sJytCyKz4NuR4ox5ballQ%2FTERdnu8G%2B2T2VP29XZ1PbGCmhopkeKUdu5q4dSKA0zkoA%3D&nvMid=90912314913&catId=50001519
