title,contents
“삼성이 또 했다”…인수 10년만에 폭발 성장 ‘하만’,"매출액 2배·영업이익 26배 급등10년 만에 이 회장 ‘승부수’ 재평가삼성전자 “투자 지속·확대할 것” 이재용 삼성전자 회장이 인도·베트남 경제사절단 동행을 위해 19일 서울 강서구 서울김포비즈니스항공센터(SGBAC)를 통해 출국하고 있다. [연합뉴스]삼성전자에 인수된 글로벌 오디오·전장(전기 장치) 기업 ‘하만’(Harman)이 10년 만에 영업이익 26배라는 폭발적인 성장을 이뤄냈다. 업계에서는 숱한 의구심에도 인수를 강행한 이재용 회장의 ‘승부수’가 제대로 통했다는 평가가 나온다.22일 삼성전자에 따르면, 하만은 지난해 매출액 15조7833억원, 영업이익 1조5311억원을 기록하며 역대 최대 실적을 달성했다. 이는 실제 인수가 마무리된 직후인 2017년의 매출(7조1034억원) 및 영업이익(575억원)과 비교할 때 각각 2.2배, 26.6배 급증한 수치다.하만 인수는 2016년 11월 발표 당시 국내 기업의 해외 M&A(인수·합병) 사상 최대 규모로 화제를 모았다. 일각에서는 스마트폰 제조사가 오디오·전장 기업을 왜 품느냐는 비판적 시각도 존재했다. 그러나 이 회장은 미래차 전장을 반도체와 스마트폰의 뒤를 이을 핵심 먹거리로 낙점하고 결단을 내렸으며, 인수 10주년을 맞이해 이를 실적으로 증명해냈다. ‘CES 2025’ 삼성 하만 전시장 모습. (삼성 제공 )현재 하만은 핵심 전장 부품인 디지털 콕핏(운전석)과 카오디오 분야에서 세계 1위를 기록 중이다. 무대 음향과 블루투스 스피커 등 전문 오디오 시장에서도 정상 자리를 유지하고 있다. 특히 삼성전자가 보유한 5G 통신, 반도체, 디스플레이 등 첨단 정보통신기술(ICT) 역량과 하만의 전장 솔루션이 결합하면서 세계 최고 수준의 커넥티드카 기능을 구현하는 등 시너지를 내고 있다.한편, 삼성전자는 공격적인 투자를 이어가며 하만을 초일류 전장 기업으로 한 단계 더 도약시킨다는 방침이다. 이를 위해 하만은 지난해 12월 15억유로(약 2조6000억원)를 투입해 독일 전장 기업 ZF의 첨단 운전자 보조 시스템(ADAS) 사업부를 인수했으며, 앞서 5월에는 5000억원을 들여 미국 마시모 오디오 사업부를 사들였다.이에 더해 삼성전자는 헝가리에 1억3118만유로(약 2300억원)를 투자해 자율주행 소프트웨어 및 하드웨어 연구개발(R&D) 센터를 구축하고 하만의 전장 생산기지도 대폭 확대할 계획이다."
삼성전자 초기업노조 평택 집결…성과급 투쟁 결의,"본집회 앞서 4만명 가까이  집결오전부터 인근 직장인들 갑론을박[평택=이데일리 박원주 기자] 삼성전자 초기업노조가 23일 오후 성과급 상한 폐지 등을 골자로 한 투쟁결의에 돌입했다. 참여 규모는 4만명 수준이다.23일 오후 1시쯤 삼성전자 평택캠퍼스에서 삼성전자 초기업노조가 성과급 상한 폐지 등을 골자로 한 대규모 집회 참석을 위해 결집했다.(사진=박원주 기자)노조는 이날 오후 2시부터 경기 삼성전자 평택캠퍼스에서 진행되는 본집회에 앞서 오후 1시부터 결의대회를 진행했다. 결의대회엔 경찰 추산 3만여명, 노조 추산 3만9000여명이 참석했다. 이들은 회사 영업이익의 15%를 성과급 재원으로 활용하고 성과급 상한제를 철폐해야 한다고 주장했다.집회가 진행된 오후가 되기 전부터 현장 인근에선 긴장감이 맴돌았다. 오전 8시 55분께 방문한 삼성전자 평택캠퍼스 인근 사거리는 교통 통제에 나선 경찰들과 검정색 조끼 등을 착용한 집회 참석자들로 인산인해를 이뤘다. 삼성전자 노조원 이외 인근 직장인들은 횡단보도를 건너며 이번 집회와 관련해 “회사로선 연구개발비도 집행해야 하는 복잡한 상황” 등 발언을 나누며 성과급 논란에 관심을 보였다.23일 오전 9시쯤 삼성전자 평택캠퍼스에서 초기업노조 구성원들이 이날 오후에 개최되는 성과급 상한 폐지 등을 골자로 하는 집회를 준비하고 있는 모습.(사진=박원주 기자)이후 오전 9시께 방문한 평택캠퍼스 입구 쪽에서는 집회 참여인원들을 대상으로 생수와 검정색 조끼, 마스크 등 필요 물품을 나눠주는 행렬이 이어졌다. 이같은 행렬은 갈수록 이어져 정오가 넘은 시점엔 입구가 막혔다고 보일 정도였다.이번 집회 이후에도 노조측의 요구에 대해 사측이 합의를 이루지지 않을 경우, 노조 측은 내달 21일부터 6월 7일까지 총파업에 돌입한다는 방침이다. 노조 가입자는 현재 7만4000여명 수준이며, 이로써 초기업노조는 삼성전자의 첫 과반노조가 됐다. 지난 15일 고용노동부의 확인 절차를 거쳐 법적 근로자 대표 지위를 확보했다.23일 오후 12시 30분쯤 삼성전자 평택캠퍼스의 입구가 인산인해를 이루고 있는 모습이다.(사진=박원주 기자)"
"삼성전자 노조 투쟁 결의대회, 입장하는 깃발","    (평택=연합뉴스) 홍기원 기자 = 23일 경기 평택시 삼성전자 평택캠퍼스 앞에서 열린 삼성전자 노동조합 공동투쟁본부의 '투명하게 바꾸고, 상한폐지 실현하자-4/23 투쟁 결의대회'에서 깃발이 입장하고 있다. 2026.4.23 xanadu@yna.co.kr"
"""돈 벌었다, 일단 챙겨"" 차익실현 우르르...코스피 신고가 찍고 등락","이란 군인들이 호르무즈 해협 통과 컨테이너선을 나포하는 장면으로 알려진 영상 캡처. /사진=엑스(옛 트위터) 캡처23일 코스피지수가 사상 최고가를 기록한 이후 등락을 거듭하고 있다. 신고가 부근에서 차익 실현 의지가 높아진 가운데 중동 지정학적 긴장이 겹친 결과로 보인다. 오후 2시6분 현재 코스피지수는 전일 대비 0.32% 상승한 6438.17에 거래됐다. 개인이 8620억원 순매수한 반면 외국인과 기관은 각각 3395억원, 4636억원 순매도했다.장중 고가는 6557.76(+2.18%)으로 사상 최고치를 경신했지만 한때 6309.10(-1.70%)까지 밀리며 변동성을 보였다.코스피지수는 이날까지 사흘 연속 신고가를 경신했다. 국내 반도체 대장주인 삼성전자와 SK하이닉스가 나란히 역대 최고 분기 실적을 발표한 것이 지수에 힘을 실어줬다.  그러나 시장에선 유가 급등 등 지정학적 위험에 따른 불안감도 존재한다.  특히  22일(현지시간) 이란 국영방송이 이란 군인들의 호르무즈 해협 통과 컨테이너선 나포 장면을 공개한 것을 계기로 호르무즈 해협 선박 봉쇄 이슈가 재부각되고 있다. 복면에 소총을 든 이란군이 화물선에 올라오는 영상이었다. 일각에선 일본 닛케이225지수, 대만 가권지수 등이 하락세를 보이고 있는 배경이라고 관측했다. 삼성전자(+2.41%), 삼성전자우(+3.50%), 두산에너빌리티(+4.66%), HD현대중공업(+1.56%), SK스퀘어(+0.42%) 등이 상승세다.사상 최대 분기 실적을 발표한 SK하이닉스(-0.82%)는 하락 반전했다.코스닥지수는 0.81% 내린 1171.50을 나타냈다. 개인이 3703억원 순매수한 반면 외국인과 기관은 각각 1861억원, 1628억원 순매도했다. 장중 1189.49(+0.71%)까지 상승했지만 1152.34(-2.44%)까지 밀렸다."
"[티타임] 코스피, 6450선 등락…개인 8200억원대 매수에 지수 방어","SK하이닉스, 장 초반 52주 최고가 쓴 뒤 약보합…원/달러 환율 1481.10원[편집자주] 동행미디어 시대 증권 전문 기자들이 날마다 쏟아지는 이슈를 깔끔하게 정리해 드립니다. 오후도 [티타임]과 함께 성공 투자하세요.23일 코스피가 장 초반 6550선까지 올랐지만 이내 약세로 전환됐다. 사진은 장 초반 6550선까지 오른 코스피 지수가 표시되는 서울 중구 하나은행 딜링룸 전광판. /사진=뉴스1 23일 오후 코스피가 롤러코스터를 타며 강보합한다. 장 초반 6550선까지 상승했었지만 하락하며 6300선까지 밀린 뒤 다시 상승세다.이날 한국거래소에 따르면 코스피는 오후 2시10분 기준 전 거래일 대비 40.10포인트(0.63%) 상승한 6458.03에 거래된다. 코스닥은 8.27포인트(0.70%) 내려 1172.85를 기록 중이다.코스피는 장 초반 급등하며 6500선을 돌파했다. 사흘 연속으로 사상 최고치를 쓰며 6557.76을 찍었다. 하지만 이내 외국인과 기관의 매도세를 이기지 못하고 하락했다. 다만 오후 들어 개인의 매수세가 확대되며 다시 지수를 6450선까지 끌어올렸다.이날 개인은 8247억원을 사들이는 중이다. 반면 외국인은 3287억원을 기관은 4372억원을 순매도한다. 코스피 시가총액 상위 10개 종목은 희비가 엇갈린다. 장 초반 22만9500원까지 올라 52주 최고가를 찍었던 삼성전자는 상승 폭을 줄여 2.99% 오른 22만4000원에 거래된다. 삼성전자우는3.83%, SK스퀘어는 0.83%, 두산에너빌리티는 5.09%, HD현대중공업은 1.64% 상승세다.이날 호실적을 발표한 SK하이닉스는 장 초반 52주 최고가를 기록했지만 차익 실현 물량이 겹치며 0.33% 하락한 121만9000원에 거래 중이다.  LG에너지솔루션은 3.72%, 현대차 0.55%, 한화에어로스페이스 0.07%, 삼성바이오로직스 2.69% 하락세다.코스닥은 전 거래일 대비 8.27포인트(0.70%) 내려 1172.85를 기록 중이다. 외국인과 기관의 매도 물량을 개인이 받아내지만 하락세를 면치 못하고 있다.이날 개인은 3638억원을 순매수한다. 반면 외국인은 1801억원을 기관은 1619억원을 순매도 중이다. 코스닥 시가총액 상위 10개 종목은 보합세다.에코프로는 3.69%, 에코프로비엠은 5.73%, 삼천당제약은 5.71%, HLB는 1.82% 하락세다.반면 알테오젠은 보합하며 레인보우로보틱스는 0.34%, 리노공업은 1.58%, 에이비엘바이오는 2.06%, 코오롱티슈진은 1.41%, 리가켐바이오는 6.74% 상승 중이다.서울 외환시장에서 원/달러 환율은 전 거래일 주간 종가 대비 5.10원 오른 1481.10원에 거래 중이다."
"삼성전자 노조 투쟁 결의대회, 구호 외치는 조합원들","    (평택=연합뉴스) 홍기원 기자 = 23일 경기 평택시 삼성전자 평택캠퍼스 앞에서 열린 삼성전자 노동조합 공동투쟁본부의 '투명하게 바꾸고, 상한폐지 실현하자-4/23 투쟁 결의대회'에서 조합원들이 구호를 외치고 있다. 2026.4.23 xanadu@yna.co.kr"
"딥서치, 타법인 출자 전수 분석…상장사 출자 구조 4년 새 달라졌다","삼성전자, 인기 종목 4년간 1위 유지해외주식 투자 확대…미국 비중 77%[이데일리TV 이지은 기자] 기업 데이터 플랫폼 딥서치의 리서치팀은 국내 상장사 사업보고서에 공시된 2022~2025년 타법인 출자현황을 전수 분석한 결과, 상장사 간 투자 네트워크와 자본 흐름이 4년 연속 확대되고 있다고 밝혔다.분석에 따르면 타법인 출자현황 공시회사 수는 2022년 2041개에서 2025년 2257개로 증가했다. 같은 기간 출자 건수도 2만6490건에서 3만2060건으로 늘었다. 장부금액 기준 전체 출자 규모는 2022년 896조6000억원에서 2023년 932조5000억원, 2024년 997조4000억원을 거쳐 2025년 1128조8000억원까지 확대됐다. 이 가운데 피투자회사가 상장사인 장부금액은 369조8000억원으로 집계돼 전체의 32.76%를 차지했다. 상장사 간 연결 관계가 더 많은 기업과 투자 관계로 확장되고 있음을 보여주는 대목이다.여러 상장사가 동시에 보유한 인기 종목 분석에서는 삼성전자가 4년 연속 1위를 유지했다. 2025년 기준 47개 상장사가 삼성전자 지분을 보유했으며, KG모빌리티, SK하이닉스, NAVER, KT 등이 뒤를 이었다. 특히 금액 기준에서도 삼성전자 투자 규모가 약 107조원에 달해 계열사 중심 출자 구조가 뚜렷하게 나타났다.투자 주체별로는 포트폴리오를 폭넓게 분산한 기업들이 상위권을 형성했다. 현대해상, 국보디자인, 미창석유공업, 한국자산신탁, 한국석유공업 등이 피투자 상장사 수 상위 기업으로 나타났다. 보험·자산운용 성격의 금융 계열과 산업·지주 계열 투자가 혼합된 구조가 특징으로 분석됐다.해외주식 투자 역시 빠르게 확대됐다. 해외 출자 건수는 2022년 267건에서 2025년 355건으로 증가했고, 투자 상장사 수도 119개에서 155개로 늘었다. 지역별로는 미국 비중이 77%를 차지했다. AI 산업 확산 영향으로 엔비디아, 애플, 브로드컴, 테슬라 등 AI 인프라 기업이 주요 투자 대상으로 부상했다.섹터별 흐름에서는 금융과 산업재 자금이 정보기술(IT) 기업으로 집중되는 교차 투자 구조가 확인됐다. 금융→IT 투자 규모는 2022년 33조9000억원에서 2025년 72조원으로 두 배 이상 확대됐고, 산업재→IT 투자 역시 꾸준히 증가했다.딥서치 관계자는 “이번 분석이 사업보고서에 흩어져 있던 출자 데이터를 통합해 한국 자본시장의 구조 변화를 가시화한 사례”라며 “상장사 간 출자가 지배구조 유지와 재무투자라는 두 축에서 동시에 확대되고 있다. 향후 투자자와 정책 당국이 동일한 공시 데이터를 기반으로 자본 흐름을 분석할 수 있는 데이터 인프라의 중요성이 더욱 커질 것”이라고 말했다."
"삼성SDS, 일회성 비용에 1분기 영업익 70% '뚝'","영업익 783억, 매출 3.3조 기록AI 10조 투자로 미래 먹거리 확보이준희 삼성SDS 대표이사(사장). 삼성SDS 제공삼성SDS의 1분기 영업이익이 일회성 비용 증가로 전년 대비 70% 이상 급락했다. 회사는 클라우드 사업 성장과 공격적인 AI 투자 전략을 통해 2분기 실적 회복을 노리고 있다.23일 삼성SDS가 발표한 1분기 잠정실적에 따르면 회사의 영업이익은 783억 원으로 전년 동기 대비 70.8% 감소했다. 매출은 3조 3529억 원으로 3.9% 줄었고 순이익도 918억 원으로 57.8% 감소했다.영업이익 감소는 퇴직금 산정 기준 변경으로 퇴직급여 충당금 1120억 원을 한 번에 반영한 영향이 컸다. 이를 제외하면 실적은 양호한 수준이다.특히 IT서비스 부문의 변화가 주목된다. 클라우드 사업 매출이 6909억 원으로 5.8% 성장하며 기존 정보기술 아웃소싱(ITO) 사업을 제치고 최대 매출원이 됐다.공공 부문의 생성형 AI 도입 확대가 영향을 미쳤다. 삼성클라우드플랫폼 기반 클라우드서비스 사업은 GPU 서비스(GPUaaS) 수요 증가로 12% 성장했다. 클라우드 관리 서비스(MSP)도 금융·공공 업종 수주 확대에 힘입어 4% 늘었다.물류 사업은 부진했다. 매출이 1조 7424억 원으로 7.8% 감소했다. 신사업 첼로스퀘어가 30% 이상 성장했지만 물동량 감소와 운임 하락이 전체 실적을 끌어내렸다. 저조했던 해운 업황이 반영된 결과다.2분기 실적 회복 기대감은 남아 있다. 공공 부문의 GPUaaS 수요 증가세가 이어질 것으로 보이고 금융권의 AI 서비스 도입도 본격화할 것으로 예상된다.중장기적으로는 AI 전략이 핵심이다. 회사는 AI 인프라와 AI 서비스 AI 플랫폼을 아우르는 'AI 풀스택' 사업으로 전환을 추진한다.글로벌 투자기업 KKR과 협력해 확보한 신규 자금 1조 2000억 원과 기존 현금성 자산 6조 6000억 원을 기반으로 2031년까지 10조 원을 투자할 계획이다.투자액은 AI 인프라 5조 원 AX·AI 서비스 및 플랫폼 1조 원 전략적 M&A 4조 원으로 배분된다."
삼성전자 '파업 전야' 3만명 모였다…“안전보호시설 정상 운영돼야”,"삼성전자 노조 투쟁 결의대회     (평택=연합뉴스) 홍기원 기자 = 23일 경기 평택시 삼성전자 평택캠퍼스 앞에서 열린 삼성전자 노동조합 공동투쟁본부의 '투명하게 바꾸고, 상한폐지 실현하자-4/23 투쟁 결의대회'에서 조합원들이 구호를 외치고 있다. 2026.4.23     xanadu@yna.co.kr (끝)삼성전자 첫 과반노조 지위를 확보한 '삼성전자 초기업노조'가 23일 오후 성과급 상한제 폐지 등을 요구하며 삼성전자 평택사업장 앞에서 투쟁결의대회를 개최했다.이날 오후 1시부터 진행된 결의대회에는 경찰 추산 3만여명, 노조 추산 3만9000여명이 참여했다. 이들은 이날 영업이익 15% 성과급 지급, 성과급 상한제 폐지 등을 요구했다.이같은 요구에 대해 사측과 합의가 이뤄지지 않을 경우 다음 달 21일부터 6월 7일까지 총파업에 돌입한다는 방침이다.노조는 현재 7만4000여명 조합원이 가입해 삼성전자의 첫 과반노조가 됐으며, 15일 고용노동부의 확인 절차를 거쳐 법적 근로자 대표 지위를 확보했다.앞서 이날 오전 10시께 대한민국 주주운동본부 소속 일부 회원들이 노조 집회 장소 인근에서 노조의 성과급 요구가 과다하다며 반대 집회를 갖고 해산했다. 이들은 삼성전자 주주 배당은 11조원에 불과한데 성과급으로 40조원을 지급하는 것은 부당하다고 주장했다.삼성전자는 최근 사내게시판에 '안전보호시설 유지운영' 필요성을 설명하는 공지문을 올리고 반도체 사업장 안전보호시설 등에 관여하는 직원들만이라도 정상적으로 업무에 임해 달라고 요청했다.유독성·가연성 가스와 화학물질을 대량 취급하는 반도체 사업장에서 안전보호시설 정상 운영은 노동조합법이 정한 법적 의무인 만큼, 쟁의행위 중에도 반드시 유지돼야 한다는 주장이다.또 안전보호시설 유지·운영은 노사 간 선택 사항이나 임의적 교섭사항이 아니라, 법률이 직접 부과한 의무라고 밝혔다.삼성전자는 관계자는 “안전보호시설과 관련해 법률이 요구하는 수준은 '최소 유지'가 아니라 '정상적 유지·운영'이라고” 말했다.반도체 제조 공정 핵심 원료인 웨이퍼는 공정 대기 한계시간 내에 반드시 후속 공정을 거치지 않으면 산패되어 변질, 부패됨에 따라 비가역적으로 손상된다.결의문 낭독하는 대한민국 주주운동본부     (평택=연합뉴스) 홍기원 기자 = 23일 삼성전자 노동조합 공동투쟁본부 투쟁 결의대회가 열리는 경기도 평택시 삼성전자 평택캠퍼스 인근에서 노조의 집회에 반대하는 대한민국 주주운동본부 관계자들이 결의문을 읽고 있다. 2026.4.23     xanadu@yna.co.kr (끝)김시소 기자 siso@etnews.com"
"삼성SDS, '국가AI컴퓨팅센터' 신설법인에 1200억 출자","특수목적법인 설립·유상증자 참여…총출자액 4000억원3월 우협 선정 뒤 후속 절차 본격화…2028년 구축 목표삼성SDS 사옥/뉴스1 DB(서울=뉴스1) 김민수 기자 = 삼성SDS가 국가 AI컴퓨팅 센터 구축 사업을 맡을 특수목적법인(SPC)에 1200억 원을 출자한다. 지난달 우선협상대상자 선정 이후 민·관 합작 법인 설립을 위한 후속 절차가 본격화하는 모습이다.삼성SDS는 23일 '국가 AI컴퓨팅 센터' 신설 예정 법인에 1200억 원을 출자하기로 했다고 공시했다. 출자는 오는 5월 4일부터 2027년 1월 31일까지 두 차례에 걸쳐 이뤄질 예정이다. 출자 상대방 총출자액은 4000억 원이다.공시에 따르면 이번 출자 목적은 국가 AI컴퓨팅 센터 구축을 위한 SPC 설립과 유상증자 참여다. 공시 상대방인 '국가 AI컴퓨팅 센터'는 아직 사명이 확정되지 않은 신설 예정 법인으로, 5월 중 설립된 뒤 계열 편입될 예정이라고 삼성SDS는 설명했다.앞서 과학기술정보통신부는 지난 3월 10일 국가 AI컴퓨팅 센터 구축 사업 우선협상대상자로 삼성SDS 컨소시엄을 선정했다. 당시 정부는 이 사업을 공공의 마중물 투자를 바탕으로 민간 자본과 역량을 결집하는 민·관 합작 SPC 방식으로 추진한다고 설명했다.삼성SDS 컨소시엄에는 네이버클라우드, 삼성물산, 카카오, 삼성전자, 클러쉬, KT, 전라남도, 서남해안기업도시개발 등이 참여하고 있다. 컨소시엄은 전남 해남 솔라시도 데이터센터 파크를 사업 입지로 제안했으며, 2028년까지 GPU 1만5000장 등 첨단 AI 인프라 구축을 목표로 하고 있다.이번 출자 공시는 우선협상대상자 선정 이후 SPC 설립과 자본 확충 절차가 실제 단계로 넘어갔다는 점에서 의미가 있다. 다만 삼성SDS는 공시에서 출자 일정과 세부 내용은 진행 상황에 따라 바뀔 수 있다고 덧붙였다.		"
